Description,Price_cleaned,Price,Rating,Url
God of War Remastered (PS4),"1,988","₹1,988",4.5 out of 5 stars,https://www.amazon.com//Bethesda-Doom-Eternal-PS4/dp/B07DRS8C91/ref=sr_1_92?keywords=ps4+games&qid=1646857960&sr=8-92
Grand Theft Auto: The Trilogy - The Definitive Edition (PS4),889,₹889,4.5 out of 5 stars,https://www.amazon.com//God-of-War-Remastered-PS4/dp/B00YORZL4A/ref=sr_1_93?keywords=ps4+games&qid=1646857960&sr=8-93
Marvel's Spider Man (PS4) - Game of the Year Edition (PS4) + Grand Theft Auto V – Premium,"3,499","₹3,499",3.7 out of 5 stars,https://www.amazon.com//Grand-Theft-Auto-Trilogy-Definitive/dp/B09MDJD84W/ref=sr_1_94?keywords=ps4+games&qid=1646857960&sr=8-94
Battlefield 1 (PS4),"2,850","₹2,850",4.0 out of 5 stars,https://www.amazon.com//Marvels-Spider-Man-PS4-Premium/dp/B08JMN66YH/ref=sr_1_95?keywords=ps4+games&qid=1646857960&sr=8-95
UFC 3 (PS4),920,₹920,4.3 out of 5 stars,https://www.amazon.com//Electronic-Arts-Battlefield-1-PS4/dp/B01FH6YI9A/ref=sr_1_96?keywords=ps4+games&qid=1646857960&sr=8-96
Bloodborne - Game of the Year Edition (PS4),"1,710","₹1,710",4.2 out of 5 stars,https://www.amazon.com//Electronic-Arts-220753-UFC-PS4/dp/B0777SJJ4V/ref=sr_1_97?keywords=ps4+games&qid=1646857968&sr=8-97
Crash Team Racing - Nitro Fueled (PS4),"1,449","₹1,449",4.5 out of 5 stars,https://www.amazon.com//Sony-179746-Bloodborne-Game-Year/dp/B018209X7U/ref=sr_1_98?keywords=ps4+games&qid=1646857968&sr=8-98
Mad Max (PS4),"2,600","₹2,600",4.6 out of 5 stars,https://www.amazon.com//Crash-Team-Racing-Nitro-Fueled/dp/B07L4F8LJW/ref=sr_1_99?keywords=ps4+games&qid=1646857968&sr=8-99
Batman Arkham Knight (PS4),"1,197","₹1,197",4.4 out of 5 stars,https://www.amazon.com//Warner-Bros-Mad-Max-PS4/dp/B00I3ZX5II/ref=sr_1_100?keywords=ps4+games&qid=1646857968&sr=8-100
Dragon Ball Fighter Z (PS4),"1,249","₹1,249",4.5 out of 5 stars,https://www.amazon.com//Warner-Bros-Batman-Arkham-Knight/dp/B00IXHF9DU/ref=sr_1_101?keywords=ps4+games&qid=1646857968&sr=8-101
Don Bradman Cricket 17 (Ps4),"1,344","₹1,344",4.2 out of 5 stars,https://www.amazon.com//Dragon-Ball-Fighter-Z-PS4/dp/B0791B6SBK/ref=sr_1_102?keywords=ps4+games&qid=1646857968&sr=8-102
Red Dead Redemption - 2 (PS4)&The Last of US Hit (PS4),"1,864","₹1,864",3.9 out of 5 stars,https://www.amazon.com//Don-Bradman-Cricket-17-Ps4/dp/B01MXMG1A9/ref=sr_1_103?keywords=ps4+games&qid=1646857968&sr=8-103
Watch Dogs (PS4),"2,958","₹2,958",5.0 out of 5 stars,https://www.amazon.com//Red-Dead-Redemption-PS4-Last/dp/B08NRPRXP1/ref=sr_1_104?keywords=ps4+games&qid=1646857968&sr=8-104
Assassin's Creed: Syndicate (PS4),"1,067","₹1,067",4.3 out of 5 stars,https://www.amazon.com//UBI-Soft-Watch-Dogs-PS4/dp/B00ION7JD6/ref=sr_1_105?keywords=ps4+games&qid=1646857968&sr=8-105
Mass Effect - Andromeda (PS4),"1,070","₹1,070",4.4 out of 5 stars,https://www.amazon.com//UBI-Soft-Assassins-Creed-Syndicate/dp/B00YS59W8O/ref=sr_1_106?keywords=ps4+games&qid=1646857968&sr=8-106
LEGO Marvel Super Heroes (PS4),770,₹770,3.9 out of 5 stars,https://www.amazon.com//Electronic-Arts-167104-Mass-Effect/dp/B00KHJLLB6/ref=sr_1_107?keywords=ps4+games&qid=1646857968&sr=8-107
It Takes Two (PS4),"1,490","₹1,490",4.5 out of 5 stars,https://www.amazon.com//LEGO-Marvel-Super-Heroes-PS4/dp/B00DUARBTA/ref=sr_1_108?keywords=ps4+games&qid=1646857968&sr=8-108
Shadow of the Colossus (PS4),"2,890","₹2,890",4.5 out of 5 stars,https://www.amazon.com//Electronic-Arts-Takes-Two-PS4/dp/B09BRNLHS2/ref=sr_1_109?keywords=ps4+games&qid=1646857968&sr=8-109
Ratchet & Clank (PS4),"1,139","₹1,139",4.4 out of 5 stars,https://www.amazon.com//Shadow-of-the-Colossus-PS4/dp/B079MVFRGH/ref=sr_1_110?keywords=ps4+games&qid=1646857968&sr=8-110
Destiny 2 (PS4),559,₹559,4.0 out of 5 stars,https://www.amazon.com//null-Ratchet-Clank-PS4/dp/B01IABGUOA/ref=sr_1_111?keywords=ps4+games&qid=1646857968&sr=8-111
LEGO Batman 3: Beyond Gotham (PS4),465,₹465,3.4 out of 5 stars,https://www.amazon.com//ACTIVISION-88094UK-Destiny-2-PS4/dp/B06XTRJG7L/ref=sr_1_112?keywords=ps4+games&qid=1646857968&sr=8-112
WWE 2K22 (PS4),"1,299","₹1,299",4.1 out of 5 stars,https://www.amazon.com//LEGO-Batman-Beyond-Gotham-PS4/dp/B00L8XUIP0/ref=sr_1_113?keywords=ps4+games&qid=1646857978&sr=8-113
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto forPlayStation 4,"3,999","₹3,999",,https://www.amazon.com//2K-GAMES-maroon-1-PS4/dp/B098TZC9N8/ref=sr_1_114?keywords=ps4+games&qid=1646857978&sr=8-114
Detroit: Become Human (PS4),"1,755","₹1,755",4.7 out of 5 stars,https://www.amazon.com//Naruto-Shippuden-Ultimate-Boruto-forPlayStation/dp/B01MD2BVE7/ref=sr_1_115?keywords=ps4+games&qid=1646857978&sr=8-115
UFC 4 (PS4),"1,149","₹1,149",4.5 out of 5 stars,https://www.amazon.com//Sony-180853-Detroit-Become-Human/dp/B07CR3QKQL/ref=sr_1_117?keywords=ps4+games&qid=1646857978&sr=8-117
Batman: Arkham Knight (PS4),"2,399","₹2,399",4.4 out of 5 stars,https://www.amazon.com//Electronic-Arts-UFC-4-PS4/dp/B08CRZBY99/ref=sr_1_118?keywords=ps4+games&qid=1646857978&sr=8-118
EA Sports FIFA 18 (PS4),"1,249","₹1,249",4.6 out of 5 stars,https://www.amazon.com//Warner-Bros-5051892170543-Batman-Arkham/dp/B00IS6S7SU/ref=sr_1_119?keywords=ps4+games&qid=1646857978&sr=8-119
Hitman 3 (PS4),449,₹449,3.9 out of 5 stars,https://www.amazon.com//EA-Sports-FIFA-18-PS4/dp/B07771ZN1Z/ref=sr_1_120?keywords=ps4+games&qid=1646857978&sr=8-120
Bandai Tekken 7 PS4 - PlayStation 4 Standard Edition (PS4),"2,499","₹2,499",4.2 out of 5 stars,https://www.amazon.com//Square-Enix-Hitman-3-PS4/dp/B08P5Y3V2Q/ref=sr_1_121?keywords=ps4+games&qid=1646857978&sr=8-121
Grand Theft Auto V – Premium,"1,266","₹1,266",4.4 out of 5 stars,https://www.amazon.com//Namco-722674120678-Tekken-PS4-PlayStation/dp/B071VJFGN4/ref=sr_1_122?keywords=ps4+games&qid=1646857978&sr=8-122
F1 2020 Seventy Edition (PS4),"1,556","₹1,556",4.5 out of 5 stars,https://www.amazon.com//Grand-Theft-Auto-V-PS4/dp/B00L8XUDIC/ref=sr_1_123?keywords=ps4+games&qid=1646857978&sr=8-123
Horizon Zero Dawn (PS4),"2,999","₹2,999",4.4 out of 5 stars,https://www.amazon.com//F1-2020-Seventy-Edition-PS4/dp/B088C7D8SC/ref=sr_1_124?keywords=ps4+games&qid=1646857978&sr=8-124
The Witcher 3: Wild Hunt - Game of the Year Edition (Free PS5 Upgrade),800,₹800,4.5 out of 5 stars,https://www.amazon.com//Sony-217769-Horizon-Zero-Dawn/dp/B06VV22K8R/ref=sr_1_125?keywords=ps4+games&qid=1646857978&sr=8-125
Batman Return to Arkham (PS4),"1,599","₹1,599",4.5 out of 5 stars,https://www.amazon.com//Witcher-Wild-Hunt-Game-Year/dp/B01KZ2GY7A/ref=sr_1_126?keywords=ps4+games&qid=1646857978&sr=8-126
ACTIVISION CALL OF DUTY BLACK OPS IIII (PS4),"1,599","₹1,599",4.4 out of 5 stars,https://www.amazon.com//Batman-Return-to-Arkham-PS4/dp/B01GA43TWU/ref=sr_1_127?keywords=ps4+games&qid=1646857978&sr=8-127
PS4 Marvel's Spider-Man: Miles Morales (PS4)&Moga XP5-A Plus Bluetooth Controller,"1,129","₹1,129",4.3 out of 5 stars,https://www.amazon.com//CALL-DUTY-BLACK-OPS-IIII/dp/B07HYBZ427/ref=sr_1_128?keywords=ps4+games&qid=1646857978&sr=8-128
PS4 Gran Turismo 7 Standard Edition (PS4),"6,495","₹6,495",,https://www.amazon.com//PS4-Marvels-Spider-Man-XP5-Controller/dp/B0982P8N49/ref=sr_1_129?keywords=ps4+games&qid=1646857987&sr=8-129
Marvel's Spider Man (PS4) - Game of the Year Edition (PS4) & Horizon: Zero Dawn - Complete Edition (PS4),"3,853","₹3,853",,https://www.amazon.com//PS4-Gran-Turismo-Standard/dp/B09GVJFSBF/ref=sr_1_130?keywords=ps4+games&qid=1646857987&sr=8-130
Fortnite: Minty Legends Pack (PS4),"2,033","₹2,033",4.8 out of 5 stars,https://www.amazon.com//Marvels-Spider-Man-PS4-Complete/dp/B0883FZTLR/ref=sr_1_131?keywords=ps4+games&qid=1646857987&sr=8-131
Marvel's Spider Man (PS4) - Game of the Year Edition (PS4)&Hitman 2 (PS4),"2,257","₹2,257",5.0 out of 5 stars,https://www.amazon.com//Fortnite-Minty-Legends-Pack-PS4/dp/B09KLLFMSR/ref=sr_1_132?keywords=ps4+games&qid=1646857987&sr=8-132
"Bluehole, Inc./SIEE PUBG - PLAYERUNKNOWN'S BATTLEGROUNDS (PS4)- Playstation PLUS Required","2,523","₹2,523",3.0 out of 5 stars,https://www.amazon.com//Marvels-Spider-Man-PS4-Hitman/dp/B08NR5Z84L/ref=sr_1_133?keywords=ps4+games&qid=1646857987&sr=8-133
Alan Wake Remastered (PS4),"1,173","₹1,173",3.4 out of 5 stars,https://www.amazon.com//PUBG-PLAYERUNKNOWNS-BATTLEGROUNDS-Playstation-Required/dp/B07KWC6B87/ref=sr_1_134?keywords=ps4+games&qid=1646857987&sr=8-134
Assassin's Creed IV: Black Flag (PS4),"2,257","₹2,257",5.0 out of 5 stars,https://www.amazon.com//U-I-Entertainment-Alan-Remastered/dp/B09GKM8VXT/ref=sr_1_135?keywords=ps4+games&qid=1646857987&sr=8-135
Dishonored 2 (PS4),"1,099","₹1,099",4.5 out of 5 stars,https://www.amazon.com//Assassins-Creed-IV-Black-Flag/dp/B00I2ORWZM/ref=sr_1_136?keywords=ps4+games&qid=1646857987&sr=8-136
God Of War - PlayStation Hits (PS4) (PS4),873,₹873,4.4 out of 5 stars,https://www.amazon.com//Bethesda-Dishonored-2-PS4/dp/B01GA43S5S/ref=sr_1_137?keywords=ps4+games&qid=1646857987&sr=8-137
Far Cry 4 (PS4),499,₹499,3.0 out of 5 stars,https://www.amazon.com//Electronic-Arts-Anthem-PS4/dp/B07DVV7WHP/ref=sr_1_138?keywords=ps4+games&qid=1646857987&sr=8-138
PS4 Dragon Age Inquisition (PS4),999,₹999,4.8 out of 5 stars,https://www.amazon.com//God-War-PlayStation-Hits-PS4/dp/B07XZH9B3H/ref=sr_1_139?keywords=ps4+games&qid=1646857987&sr=8-139
Until Dawn Hits (PS4),"1,124","₹1,124",4.4 out of 5 stars,https://www.amazon.com//UBI-Soft-PS4-Far-Cry/dp/B00L8XUB1G/ref=sr_1_140?keywords=ps4+games&qid=1646857987&sr=8-140
Street Fighter - 30th Anniversary Collection (PS4),"1,275","₹1,275",4.3 out of 5 stars,https://www.amazon.com//81551-Dragon-Age-Inquisition-PS4/dp/B00JXFXL7W/ref=sr_1_141?keywords=ps4+games&qid=1646857987&sr=8-141
Resident Evil 7: Biohazard - VR Compatible - Playstation Hits (PS4),999,₹999,4.5 out of 5 stars,https://www.amazon.com//Sony-Until-Dawan-Hits-PS4/dp/B07M9LBZGS/ref=sr_1_142?keywords=ps4+games&qid=1646857987&sr=8-142
Need for Speed Hot Pursuit Remastered (PS4),"1,299","₹1,299",3.9 out of 5 stars,https://www.amazon.com//Street-Fighter-30th-Anniversary-Collection/dp/B07CJFYYK6/ref=sr_1_143?keywords=ps4+games&qid=1646857987&sr=8-143
